year,city,country,avg_temp,MOVING_AVG
1796,Patna,India,24.99,
1797,Patna,India,26.49,
1798,Patna,India,24.27,
1799,Patna,India,25.25,
1800,Patna,India,25.2,25.24
1801,Patna,India,24.19,25.08
1802,Patna,India,25.64,24.91
1803,Patna,India,25.4,25.136
1804,Patna,India,25.72,25.23
1805,Patna,India,25.3,25.25
1806,Patna,India,25.21,25.454
1807,Patna,India,24.69,25.264
1808,Patna,India,,25.23
1809,Patna,India,,25.06666667
1810,Patna,India,,24.95
1811,Patna,India,,24.69
1812,Patna,India,,#DIV/0!
1813,Patna,India,24.55,24.55
1814,Patna,India,23.8,24.175
1815,Patna,India,24.08,24.14333333
1816,Patna,India,23.81,24.06
1817,Patna,India,23.87,24.022
1818,Patna,India,24,23.912
1819,Patna,India,23.74,23.9
1820,Patna,India,24.02,23.888
1821,Patna,India,24.88,24.102
1822,Patna,India,25.04,24.336
1823,Patna,India,24.76,24.488
1824,Patna,India,25.31,24.802
1825,Patna,India,25.09,25.016
1826,Patna,India,25.12,25.064
1827,Patna,India,25.29,25.114
1828,Patna,India,24.9,25.142
1829,Patna,India,24.71,25.022
1830,Patna,India,25.01,25.006
1831,Patna,India,24.47,24.876
1832,Patna,India,24.76,24.77
1833,Patna,India,24.87,24.764
1834,Patna,India,24.71,24.764
1835,Patna,India,23.73,24.508
1836,Patna,India,24.65,24.544
1837,Patna,India,24.54,24.5
1838,Patna,India,24.5,24.426
1839,Patna,India,24.55,24.394
1840,Patna,India,24.86,24.62
1841,Patna,India,24.77,24.644
1842,Patna,India,24.7,24.676
1843,Patna,India,24.7,24.716
1844,Patna,India,24.32,24.67
1845,Patna,India,24.57,24.612
1846,Patna,India,24.87,24.632
1847,Patna,India,24.48,24.588
1848,Patna,India,24.37,24.522
1849,Patna,India,24.37,24.532
1850,Patna,India,24.9,24.598
1851,Patna,India,24.82,24.588
1852,Patna,India,24.56,24.604
1853,Patna,India,25.03,24.736
1854,Patna,India,25.06,24.874
1855,Patna,India,25.09,24.912
1856,Patna,India,23.91,24.73
1857,Patna,India,24.26,24.67
1858,Patna,India,24.86,24.636
1859,Patna,India,24.95,24.614
1860,Patna,India,24.66,24.528
1861,Patna,India,24.59,24.664
1862,Patna,India,,24.765
1863,Patna,India,,24.73333333
1864,Patna,India,,24.625
1865,Patna,India,25.01,24.8
1866,Patna,India,25.11,25.06
1867,Patna,India,25.12,25.08
1868,Patna,India,24.79,25.0075
1869,Patna,India,24.87,24.98
1870,Patna,India,24.81,24.94
1871,Patna,India,24.97,24.912
1872,Patna,India,24.95,24.878
1873,Patna,India,25.01,24.922
1874,Patna,India,24.85,24.918
1875,Patna,India,24.94,24.944
1876,Patna,India,25.01,24.952
1877,Patna,India,25.02,24.966
1878,Patna,India,25.4,25.044
1879,Patna,India,25.15,25.104
